title,pdl count,top related titles,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,desired_education,desired_experience
audit manager,107603, us gaap, ifrs, internal controls, auditing, financial audits, internal audit, assurance, cpa, sarbanes oxley act,audit senior, audit supervisor, audit senior manager, senior audit manager, senior auditor, assistant audit manager, audit assistant manager, internal audit manager, auditor, audit director,B.Sc. Business Management,5
deputy director,105734, public policy, policy analysis, policy, public administration, program evaluation, economic development, nonprofits, grants, capacity building,joint director, assistant director, acting director, director, acting deputy director, executive director, assistant deputy director, division chief, chief of staff, first secretary,MBA,10
product engineer,105460, fmea, dfmea, manufacturing, apqp, lean manufacturing, automotive engineering, semiconductors, ppap, failure analysis,senior product engineer, product development engineer, sr product engineer, product engineering manager, manufacturing engineer, design engineer, lead product engineer, process engineer, application engineer, product design engineer,B.Sc. Computer Science,2
public relations intern,105083, cision, public relations, media relations, facebook, cisionpoint, blogging, publicity, strategic communications, press kits,public relations assistant, public relations coordinator, communications intern, marketing intern, account coordinator, public relations specialist, marketing and public relations intern, social media intern, public relations and marketing intern, media relations intern,Enrolled in Bachelor's program,0
communications manager,105075, corporate communications, strategic communications, crisis communications, media relations, communications planning, press releases, speech writing, reputation management, communications,communications specialist, communications officer, communications consultant, communications coordinator, communications director, director of communications, senior communications manager, head of communications, internal communications manager, corporate communications manager,B.Sc. Business Management,5
senior director,103830, clinical development, ind, strategy, biopharmaceuticals, cross functional team leadership, pharmaceutical industry, oncology, enterprise software, strategic partnerships,sr director, director, vice president, senior director business development, associate director, senior director business development, senior manager, senior director operations, executive director, managing director,MBA,10
human resources director,103815, succession planning, deferred compensation, human resources, employee benefits, talent management, onboarding, performance management, benefits administration, hris,human resources manager, director of human resources, hr director, human resource director, vice president human resources, human resources, hr manager, human resources consultant, director human resources, human resources benefits director,MBA,10
senior product manager,103642, product marketing, competitive analysis, product launch, go to market strategy, product strategy, mobile devices, product lifecycle management, product development, cross functional team leadership,product manager, director of product management, principal product manager, sr product manager, group product manager, director product management, director product management, lead product manager, director of product, head of product,B.Sc. Business Management,5
science teacher,102960, science, biology, teaching, curriculum development, educational technology, curriculum design, physical sciences, tutoring, classroom,high school science teacher, biology teacher, chemistry teacher, teacher, middle school science teacher, physics teacher, secondary science teacher, head of science, science department chair, science educator,B.Ed,3
maintenance engineer,100865, preventive maintenance, plant maintenance, maintenance, maintenance and repair, maintenance engineering, engineering, commissioning, manufacturing, factory,maintenance manager, senior maintenance engineer, maintenance technician, reliability engineer, mechanical maintenance engineer, mechanical engineer, maintenance supervisor, service engineer, shift engineer, production engineer,B.Sc. Computer Science,2
associate software engineer,100605, c, java, html, sql, c++, javascript, mysql, programming, data structures,application development analyst, software engineering analyst, software engineer, software engineer analyst, trainee software engineer, senior software engineer, application development senior analyst, test engineering analyst, application development associate, software engineering senior analyst,B.Sc. Computer Science,2
senior sales executive,99467, sales process, sales, direct sales, sales management, sales operations, sales executive, account management, crm, selling,sales executive, sales manager, business development manager, sr sales executive, assistant sales manager, sales officer, junior sales executive, business development executive, sales representative, senior sales,B.Sc. Marketing,3
supply chain manager,99093, supply chain management, demand planning, materials management, mrp, supply chain optimization, supply management, strategic sourcing, logistics, production planning,materials manager, logistics manager, supply chain director, supply chain analyst, procurement manager, senior supply chain manager, supply chain coordinator, supply chain, supply chain specialist, head of supply chain,B.Sc. Business Management,5
accounts manager,98313, vat, accounts receivable, payroll, finance, account reconciliation, tds, accounts payable, financial reporting, cash flow,senior accounts manager, accounts assistant, finance manager, accounts, accounts executive, accounts officer, accountant, accounts & finance manager, manager accounts, assistant accounts manager,B.Sc. Business Management,5
nurse practitioner,97808, primary care, nursing education, family medicine, nursing, emr, bls, acls, critical care, clinical research,family nurse practitioner, adult nurse practitioner, registered nurse, women's health nurse practitioner, arnp, nurse practioner, acute care nurse practitioner, nurse practitoner, crnp, cardiology nurse practitioner,B.Sc. Nursing,5
lead engineer,97641, dfmea, engineering management, dcs, embedded systems, automation, automotive engineering, cae, testing, rtos,senior lead engineer, senior engineer, engineer, design engineer, technical lead, software engineer, chief engineer, member technical staff, engineering manager, principal engineer,B.Sc. Computer Science,2
practice manager,97228, revenue cycle, ehr, medical billing, credentialing, healthcare information technology, hipaa, healthcare management, physician relations, medical coding,practice administrator, practice manager ii, senior practice manager, dental nurse, assistant practice manager, clinic manager, hospital manager, practice coordinator, office manager, medical practice manager,B.Sc. Business Management,5
front office manager,96814, rooms division, hotel management, opera, property management systems, hotels, hospitality industry, micros, hospitality management, revenue analysis,assistant front office manager, front office supervisor, duty manager, rooms division manager, director of rooms, front desk manager, night manager, guest services manager, front desk agent, asst front office manager,B.Sc. Business Management,5
software test engineer,95256, regression testing, test planning, test cases, functional testing, test automation, system testing, black box testing, software quality assurance, defect tracking,senior software test engineer, test engineer, software tester, qa engineer, sr software test engineer, quality analyst, software testing engineer, test analyst, senior test engineer, test lead,B.Sc. Computer Science,2
associate manager,94870, requirements analysis, mis, business analysis, sdlc, sap implementation, solution architecture, visual merchandising, abap, inventory management,team lead, senior associate manager, assistant manager, store manager, manager, branch associate, deputy manager, senior management trainee, prestige manager, floor staff,B.Sc. Business Management,5
accounting intern,94721, quickbooks, cpa, financial analysis, finance, auditing, financial accounting, financial statements, microsoft excel, financial reporting,tax intern, audit intern, staff accountant, assurance intern, internal audit intern, finance intern, audit associate, accounting tutor, assurance associate, tax associate,Enrolled in Bachelor's program,0
director of development,94246, stewardship, planned giving, philanthropy, alumni relations, prospect research, fundraising, volunteer management, capital campaigns, grant writing,development director, associate director of development, development officer, chief development officer, vice president of development, senior director of development, major gifts officer, director of advancement, assistant director of development, director of major gifts,MBA,10
human resource manager,94183, human resources, benefits administration, onboarding, performance management, hris, employee benefits, succession planning, recruiting, deferred compensation,human resources manager, human resource generalist, human resource director, human resource consultant, human resource business partner, human resource coordinator, regional human resource manager, human resource administrator, human resource specialist, human resource representative,B.Sc. Business Management,5
assistant engineer,93269, civil engineering, engineering, highways, structural engineering, drainage, highway design, pro tools, road, structural analysis,junior engineer, engineer, graduate engineer, executive engineer, assistant executive engineer, engineering assistant, senior assistant engineer, trainee engineer, site engineer, audio engineer,B.Sc. Computer Science,2
commercial director,92758, commercial management, business strategy, business planning, business development, trade marketing, strategy, negotiation, international business, international sales,commercial manager, group commercial director, chief commercial officer, sales director, managing director, business development director, deputy commercial director, commercial and marketing director, head of commercial, sales manager,MBA,10
vice president of sales,92028, strategic partnerships, sales operations, sales process, direct sales, p&l management, sales management, saas, salesforce.com, consumer products,vice president sales, vp of sales, vice president sales, senior vice president of sales, director of sales, vice president of sales and marketing, vp sales, regional vice president of sales, executive vice president of sales, vice president - sales,MBA,10
structural engineer,91551, structural analysis, steel structures, steel design, reinforced concrete, sap2000, foundation design, staad, etabs, seismic design,senior structural engineer, structural design engineer, graduate structural engineer, civil structural engineer, structural designer, lead structural engineer, structural engineering intern, junior structural engineer, bridge engineer, civil/structural engineer,B.Sc. Computer Science,2
director of sales and marketing,91550, convention services, yield management, revenue analysis, tourism, hotel management, resorts, hotels, hospitality industry, hotel booking,director of sales & marketing, director of sales, director of sales marketing, regional director of sales and marketing, director sales and marketing, area director of sales and marketing, sales manager, associate director of sales, director of group sales, dosm,MBA,10
president & ceo,91272, strategic partnerships, start ups, mergers and acquisitions, strategy, business development, strategic planning, leadership, venture capital, mergers,president chief executive officer, president and chief executive officer, president & coo, president and ceo, president, founder president & ceo, chairman & ceo, ceo, board member, president & chief executive officer,MBA,10
financial manager,91004, finance, financial analysis, financial audits, financial reporting, forecasting, ifrs, internal controls, accounting, financial management,financial director, group financial manager, article clerk, financial controller, senior financial manager, finance manager, assistant financial manager, audit clerk, financial and administrative manager, accountant,B.Sc. Business Management,5
research engineer,90702, simulations, matlab, signal processing, materials science, research and development r&d, cfd, sensors, image processing, characterization,senior research engineer, r&d engineer, assistant research engineer, principal research engineer, phd student, sr research engineer, associate research engineer, research and development engineer, research scientist, lead research engineer,B.Sc. Computer Science,2
director comercial,89905, estrategia de mercadotecnia, estrategia empresarial, plan de negocio, desarrollo empresarial, ventas, liderazgo de equipos, mercadotecnia, estrategia, desarrollo de productos,jefe de ventas, director general, comercial, gerente comercial, gerente, director de ventas, asesor comercial, delegado comercial, gerente de ventas, responsable comercial,MBA,10
assistant branch manager,89320, retail banking, banking, loans, credit, small business lending, cross selling, commercial banking, lines of credit, mortgage lending,branch manager, personal banker, management assistant, management trainee, teller, branch rental manager, financial sales consultant, teller supervisor, assistant branch manager ii, financial services manager,B.Sc. Business Management,5
country manager,89283, business development, key account management, market analysis, business planning, international business, international sales, sales management, strategy, marketing management,country director, sales manager, country sales manager, country general manager, country head, deputy country manager, country business manager, county manager, general manager, business development manager,B.Sc. Business Management,5
export manager,89281, international trade, international business, international sales, exportaciones, vendite internazionali, esportazione, export import, international marketing, ventas internacionales,export area manager, export sales manager, export director, area export manager, export specialist, export assistant, export sales, export, export coordinator, export executive,B.Sc. Business Management,5
senior sales manager,88606, convention services, hotel management, revenue analysis, hotels, hospitality industry, resorts, tourism, yield management, hospitality management,sales manager, assistant director of sales, director of sales, associate director of sales, director of sales and marketing, director of group sales, group sales manager, sr sales manager, director of sales & marketing, corporate sales manager,B.Sc. Business Management,5
founder and ceo,87947, strategic partnerships, entrepreneurship, strategy, venture capital, business development, business strategy, e commerce, mobile devices, leadership,founder chief executive officer, co-founder and ceo, founder, founder & ceo, founder and chief executive officer, founder and cto, ceo, founder and chairman, co founder and ceo, co-founder,MBA,10
staff engineer,87400, asic, semiconductors, ic, verilog, vlsi, rtl design, eda, functional verification, systemverilog,senior staff engineer, sr staff engineer, principal engineer, senior engineer, engineer, staff engineer ii, advisory engineer, engineering intern, project engineer, design engineer,B.Sc. Computer Science,2
senior system engineer,87397, vmware, servers, windows server, vmware esx, active directory, data center, vmware infrastructure, disaster recovery, citrix,system engineer, technology analyst, systems engineer, senior systems engineer, system engineer trainee, system administrator, sr system engineer, principal system engineer, lead system engineer, staff system engineer,B.Sc. Computer Science,2
credit manager,87133, credit risk, credit, credit analysis, dso, financial risk, credit insurance, banking, letters of credit, finance,credit analyst, credit officer, regional credit manager, assistant credit manager, area credit manager, credit controller, senior credit manager, credit supervisor, corporate credit manager, branch credit manager,B.Sc. Business Management,5
medical director,86795, medical education, board certified, internal medicine, physicians, clinical research, medical affairs, family medicine, healthcare information technology, healthcare management,physician, chief medical officer, associate medical director, senior medical director, medical advisor, psychiatrist, regional medical director, emergency physician, staff physician, assistant medical director,MBA,10
business development director,86755, strategy, strategic partnerships, business strategy, new business development, crm, business planning, development, b2b, international business,business development manager, director of business development, commercial director, sales director, head of business development, group business development director, business development, sales and marketing director, sales & marketing director, managing director,MBA,10
procurement manager,86384, supply management, e procurement, spend analysis, procurement, supply chain management, global sourcing, materials management, supply chain, supplier negotiation,senior procurement manager, procurement officer, procurement specialist, head of procurement, procurement, supply chain manager, purchasing manager, project procurement manager, procurement director, procurement supervisor,B.Sc. Business Management,5
chief marketing officer,85842, integrated marketing, strategic partnerships, product marketing, sem, mobile marketing, competitive analysis, digital strategy, brand management, marketing communications,cmo, vice president of marketing, vice president marketing, vp marketing, director of marketing, chief sales and marketing officer, marketing manager, senior vice president marketing, svp marketing, vice president marketing,B.Sc. Marketing,3
quality assurance engineer,85494, software quality assurance, test planning, regression testing, manual testing, test automation, test cases, selenium, testing, black box testing,qa engineer, senior quality assurance engineer, quality engineer, quality assurance, software quality assurance engineer, sr quality assurance engineer, associate quality assurance engineer, quality assurance analyst, quality assurance engineer ii, quality assurance manager,B.Sc. Computer Science,2
tax manager,85321, tax accounting, international tax, tax research, tax advisory, income tax, partnership taxation, cpa, tax, transfer pricing,senior tax manager, tax senior, tax consultant, tax director, senior tax accountant, tax supervisor, tax senior manager, senior tax consultant, senior tax analyst, tax associate,B.Sc. Business Management,5
software development engineer,85163, c++, python, software development, java, data structures, development, distributed systems, c, linux,software development engineer intern, senior software development engineer, software development engineer ii, sde intern, software engineer, software development engineer 2, sr software development engineer, software development intern, software developer, software development engineering intern,B.Sc. Computer Science,2
kindergarten teacher,84713, early childhood education, elementary education, lesson planning, classroom management, early childhood literacy, classroom, teaching, literacy, differentiated instruction,first grade teacher, teacher, 1st grade teacher, 2nd grade teacher, second grade teacher, pre kindergarten teacher, preschool teacher, pre-k teacher, pre-kindergarten teacher, third grade teacher,B.Ed,3
finance intern,83590, financial analysis, financial modeling, teamwork, microsoft excel, corporate finance, accounting, powerpoint, data analysis, microsoft word,accounting intern, financial analyst, audit intern, intern, finance and accounting intern, corporate finance intern, finance accounting intern, finance associate, tax intern, financial analyst intern,Enrolled in Bachelor's program,0
facilities/plant director,83383, lean manufacturing, continuous improvement, value stream mapping, kaizen, 5s, manufacturing, plant management, tpm, manufacturing operations,plant manager, facilities plant director, facilities director, facilities / plant director, facilities manager, manufacturing executive, plant and facilities manager, facilities, plant engineer, manager or supervisor,MBA,10
business developer,82927, vente, gestion de projet, entrepreneuriat, anglais, marketing en ligne, business development, prospection, marketing digital, gestion de la relation client crm,senior business developer, international business developer, business developper, ingénieur d'affaires, business developer manager, junior business developer, business development, assistant commercial, assistant marketing, ingénieur commercial,B.Sc. Computer Science,2
sales support,82843, sales support, sales operations, sales, customer service, account management, customer satisfaction, time management, microsoft office, management,sales support specialist, sales support coordinator, senior sales support, sales support manager, sales support administrator, sales support executive, sales administrator, sales support supervisor, sales support representative, sales coordinator,B.Sc. Marketing,3
assistant teacher,82591, child development, early childhood education, teaching, early childhood development, working with children, community outreach, experience working with children, public speaking, early childhood,lead teacher, teacher, student teacher, nanny, lead preschool teacher, substitute teacher, associate teacher, preschool teacher, assistant preschool teacher, teacher assistant,B.Ed,3
president/ceo,82028, fundraising, nonprofits, leadership development, strategic planning, leadership, credit unions, team building, non profits, business development,president chief executive officer, president chief executive officer, president and chief executive officer, presidentceo, president, president/ ceo, president/chief executive officer, ceo/president, president / ceo, founder/president/ceo,MBA,10
support engineer,81030, windows server, troubleshooting, virtualization, active directory, servers, vmware, windows 7, microsoft exchange, networking,senior support engineer, technical support engineer, support escalation engineer, it support engineer, sr support engineer, system administrator, customer support engineer, system engineer, support technician, support analyst,B.Sc. Computer Science,2
retail sales associate,80881, time management, retail, customer service, customer satisfaction, sales, leadership, teamwork, microsoft word, social media,retail associate manager, sales associate, retail sales leader, mobile expert, retail sales consultant, retail associate, retail sales representative, retail assistant manager, retail sales lead, retail sales,B.Sc. Marketing,3
administrative manager,80570, human resources, administration, office administration, management, budgets, customer service, recruiting, training, leadership,admin manager, adminstrative manager, senior administrative manager, administration manager, administrative director, administrative assistant, admin mgr, office manager, adm manager, assistant administrative manager,B.Sc. Business Management,5
sales administrator,79748, sales order processing, sales, customer service, office administration, account management, administration, customer satisfaction, sales operations, time management,sales admin, senior sales administrator, sales administration, sales support administrator, sales and marketing administrator, sales administration manager, sales coordinator, sales administration supervisor, sales adminstrator, administrator,B.Sc. Marketing,3
math teacher,79367, mathematics education, geometry, pre calculus, mathematics, trigonometry, tutoring, educational technology, curriculum development, teaching,mathematics teacher, high school math teacher, math instructor, teacher, middle school math teacher, math tutor, high school mathematics teacher, math and science teacher, secondary math teacher, math department chair,B.Ed,3
junior engineer,79122, engineering, civil engineering, structural engineering, project engineering, cad, concrete, commissioning, matlab, solidworks,assistant engineer, fourth engineer, trainee engineer, site engineer, engineer, civil engineer, trainee marine engineer, senior engineer, jr engineer, engineering trainee,B.Sc. Computer Science,2
sales and marketing,79121, marketing, sales management, marketing strategy, business development, marketing communications, market research, new business development, account management, sales operations,sales & marketing, sales/marketing, sales and marketing manager, position in sales and marketing, sales marketing, sales, sale and marketing, marketing and sales, marketing, sales manager,B.Sc. Marketing,3
student teacher,78599, tutoring, lesson planning, smartboard, classroom management, elementary education, education, classroom, early childhood education, child development,substitute teacher, teacher, long term substitute teacher, assistant teacher, tutor, social studies teacher, teacher assistant, summer school teacher, english teacher, field experience,B.Ed,3
service delivery manager,78338, incident management, service management, sla, service desk, it service management, service improvement, service delivery management, itil, it operations,senior service delivery manager, it service delivery manager, service desk manager, global service delivery manager, service manager, service level manager, service delivery lead, delivery project executive, incident manager, head of service delivery,B.Sc. Business Management,5
sr project manager,78202, pmp, vendor management, pmo, program management, visio, cross functional team leadership, software project management, requirements analysis, integration,project manager, sr program manager, senior project manager, sr it project manager, program manager, sr technical project manager, sr pm, sr construction manager, srproject manager, sr consultant,B.Sc. Business Management,5
retail manager,78098, merchandising, visual merchandising, store management, retail sales, inventory management, luxury goods, fashion, loss prevention, sales,assistant retail manager, senior retail manager, store manager, retail director, retail operations manager, retail supervisor, head of retail, retail store manager, retail sales manager, retail area manager,B.Sc. Business Management,5
mechanical design engineer,77694, mechanical engineering, mechanical design, cad, design for manufacturing, finite element analysis, ptc creo, pro engineer, autodesk inventor, ansys,mechanical engineer, senior mechanical design engineer, design engineer, mechanical designer, sr mechanical design engineer, senior mechanical engineer, product design engineer, lead mechanical design engineer, mechanical engineering intern, product development engineer,B.Sc. Computer Science,2
director of engineering,77495, engineering, design for manufacturing, manufacturing, scalability, semiconductors, systems engineering, lean manufacturing, electronics, r&d,vice president of engineering, engineering manager, vp of engineering, chief engineer, senior director of engineering, vp engineering, director engineering, assistant director of engineering, director engineering, sr director of engineering,B.Sc. Computer Science,2
deputy general manager,77374, business development, business strategy, hotel management, hospitality management, supply chain management, hospitality industry, hotels, revenue analysis, pre opening,general manager, associate general manager, additional general manager, joint general manager, asst general manager, assistant general manager, senior deputy general manager, asstt general manager, deputy gm, chief manager,B.Sc. Business Management,5
it engineer,77145, active directory, troubleshooting, servers, network administration, technical support, windows 7, microsoft exchange, networking, vmware,it support engineer, information technology engineer, senior it engineer, it technician, it administrator, system administrator, it manager, it system engineer, sr it engineer, it infrastructure engineer,B.Sc. Computer Science,2
music teacher,76466, music theory, piano, classical, choral, orchestral music, ensemble, chamber music, choral conducting, music history,music director, elementary music teacher, piano teacher, band director, choir director, musician, music instructor, music educator, music specialist, head of music,B.Ed,3
facility manager,76461, facilities operations, facility management, building maintenance, building management, facility operations, operations management, maintenance management, facility management fm, energy management,facilities manager, assistant facility manager, senior facility manager, facility supervisor, facility coordinator, facility management, regional facility manager, facilitair manager, manager facilities, facilty manager,B.Sc. Business Management,5
director of information technology,76144, information technology, it management, data center, active directory, microsoft exchange, it operations, security, virtualization, networking,director of it, director information technology, vice president of information technology, director information technology, manager of information technology, director of information systems, director - information technology, director of technology, chief information officer, information technology director,MBA,10
contracts manager,76135, contracts, cost management, contract management, refurbishments, refurbishing, quantity surveying, building services, procurement, subcontracting,senior contracts manager, contract manager, contracts administrator, contracts director, contracts specialist, contracts engineer, senior contracts administrator, director of contracts, contracts supervisor, sr contracts manager,B.Sc. Business Management,5
digital marketing manager,75891, google adwords, search engine optimization seo, digital marketing, search engine marketing sem, ppc, sem, web analytics, pay per click ppc, google webmaster tools,digital marketing specialist, digital marketing consultant, digital marketing executive, digital marketing, senior digital marketing manager, marketing manager, online marketing manager, digital marketing strategist, digital manager, digital marketing director,B.Sc. Business Management,5
duty manager,75682, opera, hotel management, rooms division, hospitality industry, micros, hospitality management, hotels, pre opening, hospitality,front office manager, front office supervisor, front office executive, assistant front office manager, night manager, senior duty manager, guest service agent, assistant manager front office, front office assistant, guest service officer,B.Sc. Business Management,5
client services manager,75644, crm, account management, financial services, management, customer relationship management crm, leadership, recruiting, relationship management, training,senior client services manager, client service manager, client services supervisor, client services, director of client services, client services coordinator, client services executive, client services officer, client services team leader, client services associate,B.Sc. Business Management,5
outside sales representative,75586, cold calling, sales operations, pricing, purchasing, building materials, sales presentations, account management, sales, direct sales,outside sales, inside sales representative, outside sales rep, sales representative, inside sales, territory manager, territory sales manager, outside sales consultant, senior outside sales representative, outside sales manager,B.Sc. Marketing,3
sr manager,75462, vendor management, mis, crm, bpo, business analysis, cross functional team leadership, business development, sdlc, pre sales,senior manager, manager, asst manager, dy manager, dy general manager, srmanager, sr manager - it, sr manager - hr, sr engineer, chief manager,B.Sc. Business Management,5
sales officer,75359, channel sales, team management, fmcg, distributed team, competitive analysis, market research, key account management, sales operations, rural marketing,senior sales officer, territory sales incharge, territory sales officer, sr sales officer, area sales executive, area sales manager, area sales officer, customer executive, sales executive, territory sales executive,B.Sc. Marketing,3
graphic design intern,75115, adobe creative suite, graphic design, typography, illustrator, logo design, photoshop, illustration, branding and identity, adobe illustrator,graphic designer, freelance graphic designer, design intern, junior graphic designer, freelance designer, designer, creative intern, graphic design assistant, web design intern, junior designer,Enrolled in Bachelor's program,0
preschool teacher,74950, early childhood education, child development, childcare, early childhood development, early childhood, early childhood literacy, teaching, lesson planning, curriculum development,lead preschool teacher, assistant preschool teacher, toddler teacher, teacher, kindergarten teacher, infant teacher, preschool director, substitute teacher, pre kindergarten teacher, pre-k teacher,B.Ed,3
senior program manager,74500, program management, cross functional team leadership, dod, government contracting, systems engineering, defense, earned value management, pmp, security clearance,program manager, sr program manager, principal program manager, senior technical program manager, program manager ii, director of program management, lead program manager, project manager, director program management, technical program manager,B.Sc. Business Management,5
marketing analyst,73460, market research, market analysis, segmentation, google analytics, competitive analysis, analytics, database marketing, marketing research, digital marketing,senior marketing analyst, sr marketing analyst, junior marketing analyst, marketing manager, digital marketing analyst, analista de marketing, marketing research analyst, marketing assistant, database marketing analyst, market analyst,B.Sc. Marketing,3
senior network engineer,73270, firewalls, network design, data center, switches, bgp, vpn, network security, wan, network engineering,network engineer, sr network engineer, network architect, network administrator, senior network consultant, senior network architect, principal network engineer, lead network engineer, network consultant, senior network security engineer,B.Sc. Computer Science,2
contract manager,73089, commercial management, procurement, building services, contract negotiation, iosh, fm, building maintenance, government procurement, facilities management,senior contract manager, contracts manager, contract supervisor, contract administrator, assistant contract manager, sr contract manager, contract analyst, commercial contract manager, contract management, contract director,B.Sc. Business Management,5
human resources intern,73000, recruiting, interviews, onboarding, employee relations, new hire orientations, time management, interviewing, employee benefits, hris,human resources assistant, human resources coordinator, human resources associate, hr intern, human resource intern, human resources generalist, human resources specialist, recruiting intern, talent acquisition intern, human resources analyst,Enrolled in Bachelor's program,0
design intern,72391, fashion illustration, sketching, sewing, fashion design, pattern, pattern making, illustrator, indesign, tech packs,designer, design assistant, freelance designer, assistant designer, junior designer, graphic designer, associate designer, product designer, fashion design intern, industrial designer,Enrolled in Bachelor's program,0
company director,71966, business strategy, negotiation, management, change management, business planning, commercial management, business development, building services, contract negotiation,director, managing director, company secretary, retired company director, company partner, company owner, company chairman, company manager, company founder, co director,MBA,10
industrial engineer,71911, value stream mapping, lean manufacturing, kaizen, 5s, continuous improvement, minitab, six sigma, root cause analysis, manufacturing,senior industrial engineer, industrial engineering intern, manufacturing engineer, industrial engineering manager, sr industrial engineer, industrial engineer intern, industrial engineering supervisor, process engineer, industrial engineering, industrial engineer ii,B.Sc. Computer Science,2
outside sales,71074, purchasing, building materials, pricing, industrial distribution, sales operations, cold calling, inventory management, sales management, account management,outside sales representative, inside sales, position in outside sales, sales, outside sales rep, outside salesman, out side sales, outside sales manager, inside/outside sales, territory manager,B.Sc. Marketing,3
sales account manager,70856, direct sales, solution selling, sales, sales management, business development, sales process, sales operations, key account management, channel partners,senior sales account manager, account manager, sales manager, sales account executive, sr sales account manager, business development manager, sales account, sales representative, sales executive, key account manager,B.Sc. Business Management,5
art teacher,70439, art history, visual arts, painting, drawing, fine art, printmaking, art, sculpture, ceramic sculpture,visual art teacher, art instructor, art educator, elementary art teacher, artist, visual arts teacher, high school art teacher, art specialist, middle school art teacher, teacher of art,B.Ed,3
editorial intern,69350, copy editing, journalism, ap style, blogging, fact checking, proofreading, editing, creative writing, writing,editorial assistant, freelance writer, contributing writer, staff writer, associate editor, copy editor, reporter, editor, features intern, writer,Enrolled in Bachelor's program,0
mathematics teacher,69194, algebra, geometry, mathematics, pre calculus, trigonometry, tutoring, teaching, calculus, educational technology,math teacher, mathematics instructor, high school mathematics teacher, mathematics tutor, teacher of mathematics, secondary mathematics teacher, teacher, head of mathematics, maths teacher, mathematics department chair,B.Ed,3
parts manager,69194, automotive parts, automotive aftermarket, warranty, spare parts, vehicles, dealer management, automotive repair, automobile, automotive,assistant parts manager, parts advisor, parts director, parts specialist, parts, parts sales, parts consultant, parts supervisor, parts counterman, parts department manager,B.Sc. Business Management,5
category manager,68966, retail category management, categorization, fmcg, grocery, shopper marketing, trade marketing, nielsen, iri, category insights,senior category manager, assistant category manager, category analyst, category development manager, junior category manager, associate category manager, category specialist, buyer, global category manager, sr category manager,B.Sc. Business Management,5
r&d engineer,68879, research and development r&d, design control, electronics, matlab, simulations, semiconductors, design of experiments, solidworks, pcb design,research and development engineer, senior r&d engineer, r&d manager, sr r&d engineer, r & d engineer, r&d project manager, r and d engineer, r&d specialist, r&d senior engineer, research engineer,B.Sc. Computer Science,2
senior design engineer,68834, soc, rtl design, vlsi, ic, verilog, static timing analysis, integrated circuit design, design for manufacturing, semiconductors,design engineer, principal design engineer, staff design engineer, sr design engineer, lead design engineer, mechanical design engineer, asic design engineer, engineering manager, senior staff design engineer, ic design engineer,B.Sc. Computer Science,2
bar manager,67893, bar management, cocktails, wine, food and beverage, alcoholic beverages, restaurants, restaurant management, menu development, hospitality,bartender, assistant bar manager, bar supervisor, head bartender, beverage manager, restaurant and bar manager, bars manager, restaurant manager, barman, beverage director,B.Sc. Business Management,5
pharmacy intern,67390, pharmacy, medication therapy management, community pharmacy, certified immunizer, immunization, compounding, pharmacists, clinical pharmacy, pharmacy practice,pharmacist, pharmacy technician, staff pharmacist, pharmacy manager, clinical pharmacist, pharmacy student, pgy1 pharmacy resident, pharmacy resident, pgy-1 pharmacy resident, pgy1 pharmacy practice resident,Enrolled in Bachelor's program,0
general sales manager,67082, dealers, automotive aftermarket, reynolds, automobile, vehicles, automotive sales training, gross profit, automotive, customer retention,sales manager, used car manager, new car sales manager, local sales manager, used car director, general manager, dealer principal, pre-owned sales manager, used car sales manager, new car director,B.Sc. Business Management,5
php developer,66985, codeigniter, zend framework, yii, jquery, laravel, mysql, ajax, symfony, phpunit,senior php developer, php web developer, web developer, junior php developer, sr php developer, php programmer, magento developer, php-разработчик, lead php developer, jr php developer,B.Sc. Computer Science,2
vice president sales,66906, sales operations, selling, p&l management, sales management, consumer products, go to market strategy, business development, saas, direct sales,vp sales, vice president of sales, vice president-sales, senior vice president sales, vice president sales, vice president sales and marketing, v p sales, vice president global sales, director of sales, vp of sales,MBA,10
development engineer,66847, fmea, automotive engineering, powertrain, electronics, manufacturing, engineering, product development, design of experiments, lean manufacturing,senior development engineer, sr development engineer, product development engineer, design engineer, r&d engineer, lead development engineer, junior development engineer, entwicklungsingenieur, research engineer, product engineer,B.Sc. Computer Science,2
marketing officer,66533, market research, digital marketing, marketing, internal communications, corporate communications, marketing management, event management, copywriting, public relations,senior marketing officer, marketing manager, marketing executive, marketing and communications officer, marketing assistant, digital marketing officer, sales and marketing officer, assistant marketing officer, marketing communications officer, sr marketing officer,B.Sc. Marketing,3
technical project manager,66518, sdlc, software project management, requirements analysis, agile project management, agile methodologies, solution architecture, scrum, itil, data center,senior technical project manager, project manager, technical program manager, sr technical project manager, it project manager, technical project lead, infrastructure project manager, technical manager, technical consultant, senior project manager,B.Sc. Business Management,5
communications intern,66263, blogging, media relations, strategic communications, editing, facebook, social media, writing, public relations, event planning,public relations intern, communications assistant, communications coordinator, communications specialist, intern, communications associate, marketing intern, marketing and communications intern, social media intern, editorial intern,Enrolled in Bachelor's program,0
